"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
144755;"9300CAM";"Camusnagaul Ferry Landing";"Camusnagaul";"";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Camusnagaul Ferry Landing";5682794;-512373;"FER";;"";"";"";"Camusnagaul";"";"act"
136574;"9300CAN";"Canna Ferry Terminal";"Canna";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Canna Ferry Terminal";5705617;-649030;"FER";;"";"";"";"Canna";"";"act"
136576;"9300CBA";"Castlebay Barra Ferry Terminal";"Castlebay";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Castlebay Barra Ferry Terminal";5695385;-748825;"FER";;"";"";"";"Castlebay";"";"act"
136550;"9300CLB";"Claonaig Ferry Terminal";"Claonaig";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Claonaig Ferry Terminal";5575107;-538788;"FER";;"";"";"";"Claonaig";"";"act"
136557;"9300CNU";"Craignure Mull Ferry Terminal";"Craignure";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Craignure Mull Ferry Terminal";5647076;-570631;"FER";;"";"";"";"Craignure";"";"act"
213989;"9300COH";"Red Jet Ferry Terminal";"Cowes";"Isle of Wight";"2016-02-09 15:28:06";"2016-02-09 15:28:06";"Red Jet Ferry Terminal";5076242;-129669;"FER";;"";"";"";"Cowes";"";"act"
136565;"9300COL";"Coll Ferry Terminal";"Coll";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Coll Ferry Terminal";5661506;-652424;"FER";;"";"";"";"Coll";"";"act"
138846;"9300COT";"Colintraive Ferry Terminal";"Colintraive";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Colintraive Ferry Terminal";5592335;-515276;"FER";;"";"";"";"Colintraive";"";"act"
164489;"9300COW";"East Cowes Ferry Terminal";"East Cowes";"Isle of Wight";"2016-02-09 15:27:56";"2016-02-09 15:27:56";"East Cowes Ferry Terminal";5075911;-129002;"FER";;"";"";"";"East Cowes";"Cowes";"act"
136548;"9300CPB";"Campbeltown Ferry Terminal";"Campbeltown";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Campbeltown Ferry Terminal";5542403;-559943;"FER";;"";"";"";"Campbeltown";"";"act"
144756;"9300CRR";"Nether Lochaber Ferry Terminal";"Corran Ferry";"";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Nether Lochaber Ferry Terminal";5672152;-523552;"FER";;"";"";"";"Corran Ferry";"";"act"
136555;"9300CSY";"Colonsay Ferry Terminal";"Colonsay";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Colonsay Ferry Terminal";5606860;-618820;"FER";;"";"";"";"Colonsay";"";"act"
138848;"9300CUM";"Cumbrae Ferry Terminal";"Cumbrae";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Cumbrae Ferry Terminal";5578671;-489824;"FER";;"";"";"";"Cumbrae";"";"act"
125145;"9300CUN";"North Cuan Seil Ferry Terminal";"North Cuan";"";"2016-02-09 15:27:17";"2016-02-09 15:27:17";"North Cuan Seil Ferry Terminal";5626774;-562939;"FER";;"";"";"";"North Cuan";"";"act"
136541;"9300DNU";"Dunoon Ferry Terminal";"Dunoon";"";"2016-02-09 15:27:51";"2016-02-09 15:27:51";"Dunoon Ferry Terminal";5594648;-492131;"FER";;"";"";"";"Dunoon";"";"act"
144758;"9300DRM";"Drimnin Ferry Landing";"Drimnin";"";"2016-02-09 15:27:52";"2016-02-09 15:27:52";"Drimnin Ferry Landing";5661326;-598476;"FER";;"";"";"";"Drimnin";"";"act"
125137;"9300EAI";"Easdale Seil Ferry Landing";"Easdale";"";"2016-02-09 15:27:17";"2016-02-09 15:27:17";"Easdale Seil Ferry Landing";5629359;-565160;"FER";;"";"";"";"Easdale";"";"act"
