"id";"tiploc_code";"nalco";"tps_description";"stanox";"crs_code";"description";"geo_lat";"geo_lon";"is_public";"nalco_four";"atcocode";"is_station";"created_at";"updated_at";"latlon";"googlesrs"
16726;"BIRKBCK";"540100";"BIRKBECK";"88312";"BIK";"";51.4038899010987;-0.055738698688572;;"5401";"9100BIRKBCK";t;"2015-03-16 10:43:29.479775";"2015-03-16 10:43:29.479775";"0101000020E61000002760FA5FC889ACBFA9330EAAB2B34940";"010100002031BF0D00610AD0B5CD3CB8C0D274CFA22E885941"
21429;"BISHPTN";"962000";"BISHOPTON";"7132";"BPT";"";55.9022625091104;-4.50048632680158;;"9620";"9100BISHPTN";t;"2015-03-16 10:43:34.74745";"2015-03-16 10:43:34.74745";"0101000020E6100000F2D4D67C7F0012C09E8480567DF34B40";"010100002031BF0D000CED8762FF931EC151ED0FDC49C25C41"
20950;"BISLND";"910700";"BURNTISLAND";"3291";"BTS";"";56.0570792016396;-3.23319765472274;;"9107";"9100BISLND";t;"2015-03-16 10:43:34.152653";"2015-03-16 10:43:34.152653";"0101000020E6100000F74D64BB96DD09C075290C5F4E074C40";"010100002031BF0D00EC1C8EAAB7F715C1175B5FBA5EE05C41"
17705;"BITERNE";"594500";"BITTERNE";"86216";"BTE";"";50.9182191099008;-1.37699946310225;;"5945";"9100BITERNE";t;"2015-03-16 10:43:30.550965";"2015-03-16 10:43:30.550965";"0101000020E6100000BA23CA963008F6BF07CB2B3488754940";"010100002031BF0D0090114E0837B602C10E1C0117FE335941"
13262;"BKDLE";"235200";"BIRKDALE";"36060";"BDL";"";53.6340479897523;-3.01444953313253;;"2352";"9100BKDLE";t;"2015-03-16 10:43:26.718441";"2015-03-16 10:43:26.718441";"0101000020E610000036F981B7971D08C0530A0A7C28D14A40";"010100002031BF0D00BB52BDF23B7B14C143F5E7F0B7165B41"
20266;"BKHLS";"842900";"BROCKHOLES";"18492";"BHS";"";53.5969702101044;-1.76969118985654;;"8429";"9100BKHLS";t;"2015-03-16 10:43:33.332889";"2015-03-16 10:43:33.332889";"0101000020E61000002B4087B5A750FCBFD68A148569CC4A40";"010100002031BF0D002B0B18FA480C08C13C6F4472EC0F5B41"
15270;"BKNELL";"418200";"BUCKNELL";"79097";"BUK";"";52.3573772666056;-2.9473777672867;;"4182";"9100BKNELL";t;"2015-03-16 10:43:28.222392";"2015-03-16 10:43:28.222392";"0101000020E610000089A17BCB3A9407C0D533CC89BE2D4A40";"010100002031BF0D003C7B715E920614C18D6AF6E51A305A41"
17548;"BKNHRST";"588600";"BROCKENHURST";"86901";"BCU";"";50.8168392351497;-1.57353098814621;;"5886";"9100BKNHRST";t;"2015-03-16 10:43:30.40008";"2015-03-16 10:43:30.40008";"0101000020E6100000E04955D42E2DF9BF608724308E684940";"010100002031BF0D002AC5C658E56105C1A67EA09B87225941"
11357;"BKSWELL";"104500";"BERKSWELL";"69211";"BKW";"";52.3958792748665;-1.64284027314223;;"1045";"9100BKSWELL";t;"2015-03-16 10:43:25.645602";"2015-03-16 10:43:25.645602";"0101000020E61000004F29DBE11249FABFA05B0D2CAC324A40";"010100002031BF0D008C622B24015306C1A6913E1EF6365A41"
13378;"BLAENAU";"245000";"BLAENAU FFESTINIOG";"40066";"BFF";"";52.9945467459822;-3.93859482103512;;"2450";"9100BLAENAU";t;"2015-03-16 10:43:26.790946";"2015-03-16 10:43:26.790946";"0101000020E6100000965364003E820FC01B2BCA4E4D7F4A40";"010100002031BF0D00AEF4CB7AA9C21AC10D65E65159A25A41"
21681;"BLAIRHL";"976000";"BLAIRHILL COATBRIDGE";"6714";"BAI";"";55.8664493458195;-4.04329019149718;;"9760";"9100BLAIRHL";t;"2015-03-16 10:43:35.06725";"2015-03-16 10:43:35.06725";"0101000020E610000032DF9243542C10C0B9F7E9CFE7EE4B40";"010100002031BF0D00CC715F05C4781BC1483E8ED358BB5C41"
15567;"BLAKEDN";"457400";"BLAKEDOWN";"65938";"BKD";"";52.4063991373433;-2.17686534003913;;"4574";"9100BLAKEDN";t;"2015-03-16 10:43:28.469642";"2015-03-16 10:43:28.469642";"0101000020E6100000A31C1A60386A01C08C010EE304344A40";"010100002031BF0D00017D5554BC940DC1B71119F6D5385A41"
21597;"BLANTYR";"971600";"BLANTYRE";"7486";"BLT";"";55.7973241272429;-4.08697062112456;;"9716";"9100BLANTYR";t;"2015-03-16 10:43:34.958298";"2015-03-16 10:43:34.958298";"0101000020E61000006BC595D30E5910C0F6688DB70EE64B40";"010100002031BF0D00502A27F4BDC41BC1C40DE97DF7AD5C41"
20684;"BLARATH";"875000";"BLAIR ATHOLL";"3101";"BLA";"";56.7655445658934;-3.85022784413554;;"8750";"9100BLARATH";t;"2015-03-16 10:43:33.830839";"2015-03-16 10:43:33.830839";"0101000020E610000093AF854144CD0EC04312455DFD614C40";"010100002031BF0D003D6BB89CF5281AC1D1E3CD0E976B5D41"
19553;"BLAYDON";"750300";"BLAYDON";"13403";"BLO";"";54.9657869933869;-1.71258066641777;;"7503";"9100BLAYDON";t;"2015-03-16 10:43:32.511832";"2015-03-16 10:43:32.511832";"0101000020E6100000596B20FCBA66FBBFDCBF7FE89E7B4B40";"010100002031BF0D00A883A0DC9C4507C1CDAB4D39D70E5C41"
19396;"BLCHSRD";"740000";"BLACKHORSE ROAD";"51555";"BHO";"";51.5866037920855;-0.0412357011193797;;"7400";"9100BLCHSRD";t;"2015-03-16 10:43:32.3265";"2015-03-16 10:43:32.3265";"0101000020E6100000F2817887D81CA5BFC05B43D515CB4940";"010100002031BF0D0047C6165656EEB1C0D88AA62016A85941"
20829;"KEITH";"892500";"KEITH";"2015";"KEH";"";57.5508977987484;-2.95406871400091;;"8925";"9100KEITH";t;"2015-03-16 10:43:34.004983";"2015-03-16 10:43:34.004983";"0101000020E61000005D2A26C7EEA107C00988AED183C64C40";"010100002031BF0D002B1036B3351214C103E0CE4206095E41"
21070;"BREICH";"925100";"BREICH";"4088";"BRC";"";55.8273107830215;-3.66812502954619;;"9251";"9100BREICH";t;"2015-03-16 10:43:34.297823";"2015-03-16 10:43:34.297823";"0101000020E6100000C1517CEF51580DC04E5ADA51E5E94B40";"010100002031BF0D0011F4E73D37EC18C1B9BE3DA9C4B35C41"
13600;"BLCKPB";"273800";"BLACKPOOL PLEASURE BEACH";"30034";"BPB";"";53.7879506488358;-3.05387587729179;;"2738";"9100BLCKPB";t;"2015-03-16 10:43:26.942969";"2015-03-16 10:43:26.942969";"0101000020E6100000A617D879566E08C04ECE1D91DBE44A40";"010100002031BF0D00727663A1CFBF14C1A6C220A2FC325B41"
13601;"BLCKPLN";"273900";"BLACKPOOL NORTH";"30021";"BPN";"";53.8219132319619;-3.04927457614554;;"2739";"9100BLCKPLN";t;"2015-03-16 10:43:26.944162";"2015-03-16 10:43:26.944162";"0101000020E61000000B8EA811EA6408C088B6E97334E94A40";"010100002031BF0D00CD6BBDC5CEB714C1A290552B3D395B41"
14625;"BSPSLYD";"344600";"BISHOPS LYDEARD(W.SOMERSET";"83014";"BIB";"";51.054584709951;-3.19432968443621;;"3446";"9100BSPSLYD";t;"2015-03-16 10:43:27.698701";"2015-03-16 10:43:27.698701";"0101000020E61000003B5DBAB8FC8D09C0F40CBCA1FC864940";"010100002031BF0D00693F979D1CB415C1775BEFB38A4B5941"
13604;"BLCKS";"274000";"BLACKPOOL SOUTH";"30033";"BPS";"";53.7986991633498;-3.04893773483639;;"2740";"9100BLCKS";t;"2015-03-16 10:43:26.946226";"2015-03-16 10:43:26.946226";"0101000020E6100000094D9577396408C009F730C63BE64A40";"010100002031BF0D002410CFC838B714C168164D08F7345B41"
