"id";"atcocode";"common_name";"locality_name";"locality_qualifier";"created_at";"updated_at";"name";"lattitude";"longitude";"transport_type";"osm_id";"sms_code";"indicator";"bearing";"locality";"parent_locality";"status"
64322;"9400ZZCRMCH1";"Mitcham Tram Stop";"Mitcham";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Mitcham Tram Stop";5139753;-17115;"tram";25279123;"";"";"";"Mitcham";"";"act"
64325;"9400ZZCRMDN1";"Morden Road Tram Stop";"Merton Park";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Morden Road Tram Stop";5140885;-19272;"tram";2867978653;"";"";"";"Merton Park";"";"act"
64321;"9400ZZCRMJT1";"Mitcham Junction Station";"Mitcham";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Mitcham Junction Station";5139264;-15730;"tram";26478123;"";"";"";"Mitcham";"";"act"
64326;"9400ZZCRMTP1";"Merton Park Tram Stop";"Merton (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Merton Park Tram Stop";5141364;-20114;"tram";2875405804;"";"";"";"Merton";"";"act"
64313;"9400ZZCRNWA1";"New Addington Tram Stop";"New Addington";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"New Addington Tram Stop";5134264;-1755;"tram";82627519;"";"";"";"New Addington";"";"act"
64324;"9400ZZCRPHI1";"Phipps Bridge Tram Stop";"Morden (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Phipps Bridge Tram Stop";5140331;-18211;"tram";1763991540;"";"20023";"";"Morden";"";"act"
64304;"9400ZZCRRVC1";"Reeves Corner Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Reeves Corner Tram Stop";5137527;-10638;"tram";;"";"";"";"Croydon";"";"act"
64295;"9400ZZCRSAN1";"Sandilands Tram Stop";"Addiscombe";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Sandilands Tram Stop";5137496;-7775;"tram";60306534;"";"";"";"Addiscombe";"Croydon";"act"
64303;"9400ZZCRTPA1";"Therapia Lane Tram Stop";"Broad Green (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Therapia Lane Tram Stop";5138570;-12909;"tram";25279257;"";"";"";"Broad Green";"Croydon";"act"
64301;"9400ZZCRWAD1";"Waddon Marsh Tram Stop";"Waddon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Waddon Marsh Tram Stop";5137700;-11783;"tram";25279390;"";"20016";"";"Waddon";"Croydon";"act"
64300;"9400ZZCRWAN1";"Wandle Park Tram Stop";"Waddon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Wandle Park Tram Stop";5137348;-11336;"tram";25279393;"";"20015";"";"Waddon";"Croydon";"act"
64306;"9400ZZCRWCR1";"West Croydon Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"West Croydon Tram Stop";5137905;-10162;"tram";1760244804;"";"20012";"";"Croydon";"";"act"
64307;"9400ZZCRWEL1";"Wellesley Road Tram Stop";"Croydon (London)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Wellesley Road Tram Stop";5137562;-9762;"tram";128665478;"";"20013";"";"Croydon";"";"act"
64328;"9400ZZCRWMB1";"Wimbledon";"Wimbledon";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Wimbledon";5142121;-20565;"tram";307542330;"";"";"";"Wimbledon";"";"act"
64292;"9400ZZCRWOD1";"Woodside Tram Stop";"Woodside (Croydon)";"Greater London";"2016-02-09 15:27:05";"2016-02-09 15:27:05";"Woodside Tram Stop";5138708;-6533;"tram";21577769;"";"";"";"Woodside";"";"act"
52387;"9400ZZDLABR1";"Abbey Road DLR Station";"Stratford (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Abbey Road DLR Station";5153192;384;"tram";;"";"Platform 1";"";"Stratford";"";"act"
52362;"9400ZZDLABR2";"Abbey Road DLR Station";"Stratford (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Abbey Road DLR Station";5153193;364;"tram";;"";"Platform 2";"";"Stratford";"";"act"
52374;"9400ZZDLALL1";"All Saints";"All Saints (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"All Saints";5151068;-1302;"tram";;"";"";"";"All Saints";"";"act"
52369;"9400ZZDLALL2";"All Saints";"All Saints (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"All Saints";5151102;-1282;"tram";;"";"";"";"All Saints";"";"act"
52342;"9400ZZDLBLA1";"Blackwall";"Blackwall (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Blackwall";5150798;-664;"tram";;"";"";"";"Blackwall";"";"act"
52372;"9400ZZDLBLA2";"Blackwall";"Blackwall (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Blackwall";5150793;-654;"tram";;"";"";"";"Blackwall";"";"act"
52384;"9400ZZDLBNK1";"Bank";"City of London";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Bank";5151217;-8791;"tram";;"";"";"";"Bank";"City of London";"act"
52377;"9400ZZDLBOW1";"Bow Church DLR";"Bow (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Bow Church DLR";5152767;-2086;"tram";;"";"";"";"Bow";"London";"act"
52366;"9400ZZDLBOW2";"Bow Church DLR";"Bow (London)";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Bow Church DLR";5152770;-2083;"tram";;"";"";"";"Bow";"London";"act"
52390;"9400ZZDLBPK1";"Beckton Park";"Beckton Park";"Greater London";"2016-02-09 15:27:03";"2016-02-09 15:27:03";"Beckton Park";5150880;5498;"tram";;"";"";"";"Beckton Park";"";"act"
